start,end,count,severity,top1_raw,driver,anomaly_score
2024-11-29 09:49:49,2024-11-29 09:58:29,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.08446018210245088
2024-11-29 11:26:48,2024-11-29 11:33:38,4,medium,roller2_X-Axis_Kurtosis_scaled_roll_std,roller2 Kurtosis std,-0.05699484462309157
2024-11-29 14:16:58,2024-11-29 14:27:19,7,medium,gearbox_Z-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.0921132139353853
2024-11-29 15:25:19,2024-11-29 15:41:08,8,medium,gearbox_Z-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.0954599463457817
2024-11-29 15:51:48,2024-11-29 16:03:58,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled,gearbox RMS scaled,-0.06332528674996873
2024-11-30 10:18:08,2024-11-30 10:37:38,6,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.06927830492801179
2024-11-30 13:07:28,2024-11-30 13:11:48,4,medium,gearbox_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.0791084968398994
2024-11-30 14:14:28,2024-11-30 14:19:48,4,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.061264786603157706
2024-11-30 17:25:08,2024-11-30 17:33:48,6,medium,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.0716256928072696
2024-11-30 19:19:18,2024-11-30 19:32:38,9,medium,roller1_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,roller1 RMS std,-0.075619492002164
2024-11-30 19:21:57,2024-11-30 19:22:07,2,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.12689659889407523
2024-12-02 12:53:46,2024-12-02 13:04:36,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.050323660517819224
2024-12-02 13:40:36,2024-12-02 13:51:16,6,medium,motor_X-Axis_RMS_Velocity_mm/sec_scaled,motor RMS scaled,-0.04991798643744727
2024-12-02 14:30:37,2024-12-02 14:35:47,8,medium,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.10476473086853388
2024-12-02 21:19:06,2024-12-02 21:23:56,5,medium,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.08395515696985234
2024-12-03 14:36:55,2024-12-03 14:48:46,7,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.05677979249054399
2024-12-03 15:41:25,2024-12-03 15:41:25,1,high,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.14063274546617155
2024-12-03 15:41:35,2024-12-03 15:50:35,4,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.11712055519330444
2024-12-03 20:45:46,2024-12-03 20:50:46,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,gearbox RMS std,-0.06933088992165193
2024-12-04 00:33:25,2024-12-04 00:39:25,3,medium,motor_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,motor RMS mean,-0.0662281910278244
2024-12-04 13:41:35,2024-12-04 13:59:25,11,medium,roller2_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.09876884704748856
2024-12-04 15:08:35,2024-12-04 15:23:15,6,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.05238472535466654
2024-12-04 15:18:25,2024-12-04 15:18:25,1,high,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.14956656628825216
2024-12-05 00:39:45,2024-12-05 00:49:25,3,medium,roller2_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.053556981944398285
2024-12-05 12:45:45,2024-12-05 13:03:25,3,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.09929779125578253
2024-12-05 12:45:55,2024-12-05 12:46:15,2,high,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.13063063257138585
2024-12-05 14:10:24,2024-12-05 14:16:25,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.06612995814785272
2024-12-05 16:00:35,2024-12-05 16:10:54,6,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,gearbox RMS std,-0.0747530776836195
2024-12-05 18:29:24,2024-12-05 18:36:25,5,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.09326593915264181
2024-12-05 19:31:14,2024-12-05 19:36:05,6,medium,gearbox_X-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.08397304786624127
2024-12-05 23:15:14,2024-12-05 23:15:14,1,high,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.1553959054601135
2024-12-06 12:48:04,2024-12-06 12:54:54,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.05977656610450455
2024-12-06 13:58:14,2024-12-06 14:08:34,6,medium,roller2_X-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.053486077701905055
2024-12-06 14:35:14,2024-12-06 14:46:24,5,medium,roller2_X-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.07438666926894577
2024-12-06 14:56:54,2024-12-06 15:18:44,7,medium,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.09566945081364031
2024-12-06 15:46:33,2024-12-06 15:51:24,4,medium,motor_X-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.05915720722757678
2024-12-06 17:01:44,2024-12-06 17:02:44,3,medium,motor_Z-Axis_Kurtosis_scaled_roll_mean,motor Kurtosis mean,-0.07922780040729671
2024-12-06 22:26:43,2024-12-06 22:30:23,4,medium,roller1_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.055669832038419464
2024-12-07 11:40:33,2024-12-07 11:44:43,4,medium,roller2_Z-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.06835091610189115
2024-12-07 13:23:43,2024-12-07 13:23:43,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.14821068918585412
2024-12-07 13:34:33,2024-12-07 13:58:13,7,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.0600652284227845
2024-12-07 14:59:03,2024-12-07 15:07:34,3,medium,motor_Z-Axis_Kurtosis_scaled_roll_mean,motor Kurtosis mean,-0.05819707977966049
2024-12-07 15:19:13,2024-12-07 15:19:13,1,high,gearbox_X-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.12490160644656256
2024-12-07 15:19:23,2024-12-07 15:50:23,8,medium,gearbox_X-Axis_Kurtosis_scaled_roll_std,gearbox Kurtosis std,-0.06852696781814771
2024-12-07 17:49:13,2024-12-07 18:07:13,3,medium,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.050791866848814315
2024-12-07 19:06:03,2024-12-07 19:07:43,3,medium,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.10431510936420918
2024-12-07 21:52:23,2024-12-07 22:04:53,5,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.06874320164491066
2024-12-08 00:11:03,2024-12-08 00:19:43,4,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,gearbox RMS std,-0.055606899400509
2024-12-09 08:17:29,2024-12-09 08:18:39,3,medium,gearbox_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.051474603283285125
2024-12-09 10:11:28,2024-12-09 10:14:59,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.07159737640314479
2024-12-10 11:09:18,2024-12-10 11:11:08,3,medium,gearbox_Z-Axis_Kurtosis_scaled_roll_std,gearbox Kurtosis std,-0.08421469369134216
2024-12-10 18:28:38,2024-12-10 18:35:08,3,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.053457013346983384
2024-12-11 06:34:08,2024-12-11 06:46:18,3,medium,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.06543429399819567
2024-12-11 08:06:28,2024-12-11 08:06:28,1,high,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.12872895055430333
2024-12-11 22:32:18,2024-12-11 22:40:07,3,medium,roller1_Z-Axis_RMS_Velocity_mm/sec_scaled_roll_std,roller1 RMS std,-0.061819178287600085
2024-12-11 23:57:37,2024-12-12 00:01:27,3,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.057016763441457674
2024-12-12 15:44:59,2024-12-12 15:53:50,4,medium,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.10591636216644817
2024-12-12 22:08:50,2024-12-12 22:17:59,4,medium,roller1_Z-Axis_Kurtosis_scaled_volatility,roller1 Kurtosis volatility,-0.08059045596142211
2024-12-14 09:23:09,2024-12-14 09:23:09,1,high,gearbox_Z-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.16857931114998248
2024-12-14 14:13:28,2024-12-14 14:18:08,5,medium,roller2_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.07224280223684276
2024-12-14 14:57:28,2024-12-14 15:04:49,3,medium,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.10481735356470989
2024-12-14 18:35:49,2024-12-14 18:52:49,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,gearbox RMS std,-0.06143495361244844
2024-12-16 10:12:55,2024-12-16 10:21:15,3,medium,roller2_X-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.062960836943876
2024-12-16 11:08:34,2024-12-16 11:26:14,3,medium,gearbox_Z-Axis_Kurtosis_scaled_roll_std,gearbox Kurtosis std,-0.057919532736613766
2024-12-16 14:02:35,2024-12-16 14:02:35,1,high,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.15736813074212963
2024-12-16 14:07:45,2024-12-16 14:12:55,6,medium,roller2_Z-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.11448335220649786
2024-12-16 15:12:44,2024-12-16 15:29:44,5,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.07206168159249049
2024-12-16 17:11:35,2024-12-16 17:20:44,3,medium,roller2_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.06039110191104624
2024-12-16 19:24:25,2024-12-16 19:31:44,4,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.05975545778572844
2024-12-16 21:46:54,2024-12-16 21:48:45,3,medium,roller2_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.0915458916085039
2024-12-16 23:58:45,2024-12-16 23:58:45,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.1447454179091433
2024-12-17 08:25:24,2024-12-17 08:25:24,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.1431551411306885
2024-12-17 13:15:04,2024-12-17 13:25:04,3,medium,gearbox_X-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.061442146866350744
2024-12-17 15:23:24,2024-12-17 15:30:44,5,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,gearbox RMS std,-0.06417411861910338
2024-12-17 15:43:04,2024-12-17 15:48:04,4,medium,roller2_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.06358734246364883
2024-12-17 23:55:04,2024-12-17 23:59:44,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.07070137553366918
2024-12-18 12:04:56,2024-12-18 12:13:07,4,medium,roller1_Z-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,roller1 RMS mean,-0.08923809936004579
2024-12-18 15:35:16,2024-12-18 15:40:06,6,medium,roller2_X-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.06270847375863486
2024-12-18 16:22:06,2024-12-18 16:22:06,1,high,gearbox_Z-Axis_Crest_Factor_scaled_volatility,gearbox Crest volatility,-0.13126526512662484
2024-12-18 16:55:06,2024-12-18 16:55:06,1,high,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.1399651520761961
2024-12-18 22:39:46,2024-12-18 22:39:46,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.15494466400053208
2024-12-19 09:39:56,2024-12-19 09:41:45,3,medium,motor_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,motor Peak volatility,-0.04954191881178305
2024-12-19 11:13:06,2024-12-19 11:23:26,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.07576334075656865
2024-12-19 13:58:45,2024-12-19 13:58:45,1,high,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.12533417227772647
2024-12-19 14:19:46,2024-12-19 14:30:05,5,medium,roller2_X-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.06817416176310498
2024-12-19 18:36:26,2024-12-19 18:44:56,5,medium,motor_Z-Axis_RMS_Velocity_mm/sec_scaled_roll_std,motor RMS std,-0.05089252569707692
2024-12-19 20:34:25,2024-12-19 20:41:26,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.09014927016672647
2024-12-20 09:51:26,2024-12-20 10:02:06,4,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,gearbox RMS std,-0.05509343494792507
2024-12-20 15:10:56,2024-12-20 15:20:55,4,medium,roller2_Z-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.05268119619545242
2024-12-20 16:42:35,2024-12-20 16:51:55,8,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.06844802777788395
2024-12-20 18:45:20,2024-12-20 19:02:40,6,medium,roller1_X-Axis_Kurtosis_scaled_roll_std,roller1 Kurtosis std,-0.12205149099137158
2024-12-20 20:34:40,2024-12-20 20:42:21,3,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.06241146974581879
2024-12-20 22:14:40,2024-12-20 22:22:21,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.07546241576329726
2024-12-21 10:41:40,2024-12-21 10:43:10,3,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.05623513218048792
2024-12-21 11:14:21,2024-12-21 11:14:21,1,high,roller2_X-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.1379072881372978
2024-12-21 12:56:30,2024-12-21 13:09:20,5,medium,roller1_X-Axis_RMS_Velocity_mm/sec_scaled_delta,roller1 RMS delta,-0.06539536548221747
2024-12-21 13:23:00,2024-12-21 13:32:30,5,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.06973865766743004
2024-12-21 14:09:50,2024-12-21 14:19:40,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.11437901379290993
2024-12-21 15:17:30,2024-12-21 15:27:20,3,medium,roller2_X-Axis_Kurtosis_scaled_delta,roller2 Kurtosis delta,-0.05605357431925362
2024-12-21 22:18:50,2024-12-21 22:18:50,1,high,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.18227411795271198
2024-12-21 22:19:30,2024-12-21 22:32:10,4,medium,roller2_Z-Axis_Kurtosis_scaled_roll_std,roller2 Kurtosis std,-0.12123481386925361
2024-12-22 04:04:50,2024-12-22 04:12:19,3,medium,motor_X-Axis_RMS_Velocity_mm/sec_scaled,motor RMS scaled,-0.0738362875683235
2024-12-23 15:40:29,2024-12-23 15:49:59,3,medium,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.07967859427178658
2024-12-23 17:08:09,2024-12-23 17:24:19,6,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.09041835465658199
2024-12-23 22:28:09,2024-12-23 22:42:49,4,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.07869984852842404
2024-12-24 14:49:28,2024-12-24 14:49:28,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.1273378393745047
2024-12-24 14:50:19,2024-12-24 14:59:29,5,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.11881611330969377
2024-12-24 19:32:19,2024-12-24 19:40:58,3,medium,roller2_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.05870211664192804
2024-12-24 20:59:19,2024-12-24 21:08:18,3,medium,roller2_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.06655817728262436
2024-12-24 21:37:28,2024-12-24 21:56:58,7,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.058918744748140295
2024-12-25 18:17:38,2024-12-25 18:21:28,3,medium,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.054081699847260856
2024-12-25 19:29:58,2024-12-25 19:29:58,1,high,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.13386855128222042
2024-12-26 11:44:37,2024-12-26 11:44:37,1,high,gearbox_Z-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.12517090138407938
2024-12-26 16:14:58,2024-12-26 16:18:07,3,medium,roller2_X-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.08459985898442701
2024-12-26 17:47:47,2024-12-26 18:01:27,11,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.10745230600149669
2024-12-26 18:25:17,2024-12-26 18:31:37,4,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_std,gearbox RMS std,-0.06942785221061343
2024-12-26 22:13:17,2024-12-26 22:26:27,5,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.11154772023634929
2024-12-27 04:27:17,2024-12-27 04:30:17,4,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.10674161305234298
2024-12-27 14:56:17,2024-12-27 14:58:37,5,medium,roller1_Z-Axis_RMS_Velocity_mm/sec_scaled_roll_std,roller1 RMS std,-0.06930580130171393
2024-12-27 15:33:26,2024-12-27 15:35:47,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.11125637537403965
2024-12-27 15:58:17,2024-12-27 16:04:46,4,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.06317703839804789
2024-12-27 16:04:16,2024-12-27 16:04:16,1,high,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.1383778417915822
2024-12-27 16:27:47,2024-12-27 16:31:37,3,medium,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.05960754467567786
2024-12-27 17:04:07,2024-12-27 17:08:37,4,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.057519211260664616
2024-12-27 19:37:57,2024-12-27 19:52:46,5,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.07796061752124028
2024-12-28 11:19:46,2024-12-28 11:22:36,5,medium,roller2_X-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.08093476189749893
2024-12-28 13:30:06,2024-12-28 13:36:26,4,medium,roller1_Z-Axis_RMS_Velocity_mm/sec_scaled_roll_std,roller1 RMS std,-0.09313370566668822
2024-12-28 14:23:56,2024-12-28 14:32:46,3,medium,gearbox_Z-Axis_Kurtosis_scaled_roll_std,gearbox Kurtosis std,-0.09719814100541335
2024-12-28 15:43:56,2024-12-28 15:53:36,3,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.07717711606566413
2024-12-28 19:01:46,2024-12-28 19:09:06,4,medium,motor_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,motor Peak volatility,-0.06097253112626977
2024-12-28 22:43:36,2024-12-28 22:52:55,6,medium,roller2_X-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.05976840285290175
2024-12-29 01:00:56,2024-12-29 01:07:05,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.05856169762109853
2024-12-30 12:37:35,2024-12-30 12:37:35,1,high,gearbox_Temperature_°C_scaled_volatility,gearbox °C volatility,-0.12914767405133565
2024-12-30 15:00:44,2024-12-30 15:05:44,3,medium,motor_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,motor Peak volatility,-0.07300553435426371
2024-12-30 19:32:04,2024-12-30 19:39:35,3,medium,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.061061444213748484
2024-12-30 22:23:54,2024-12-30 22:26:44,3,medium,gearbox_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.06818720680611767
2024-12-31 00:20:54,2024-12-31 00:26:25,3,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.06400434366528929
2024-12-31 04:13:45,2024-12-31 04:15:14,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.07168625248242222
2024-12-31 10:22:35,2024-12-31 10:29:44,3,medium,roller2_X-Axis_Kurtosis_scaled_volatility,roller2 Kurtosis volatility,-0.10490024621657346
2024-12-31 13:52:24,2024-12-31 13:55:44,4,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.05139112581343397
2024-12-31 15:38:54,2024-12-31 15:44:34,4,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.08053734251719502
2024-12-31 15:58:54,2024-12-31 16:04:44,3,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.060998236995581157
2024-12-31 23:45:34,2024-12-31 23:49:34,4,medium,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.06670244161870853
2025-01-01 16:17:03,2025-01-01 16:17:03,1,high,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.12750378612041469
2025-01-01 18:39:24,2025-01-01 18:39:24,1,high,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.1327420597504061
2025-01-01 19:07:23,2025-01-01 19:16:54,5,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.06668654336479807
2025-01-01 21:03:13,2025-01-01 21:03:13,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.12649228939443347
2025-01-01 22:31:03,2025-01-01 22:38:13,5,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.07472695111836702
2025-01-02 09:51:33,2025-01-02 10:02:13,3,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.05567627391553864
